code	severity	auto	message	origin
`TEMPLATE_NOT_FOUND`	warning（②は公開前チェックで「要対応」として出す＝`PrecheckItem` 側の値。`Warning.severity` は §5 の3値）	**状況で分ける**。①**取り込み時**（AI出力→場面への変換）は同category・同orientationへ**自動補正**（`12 §8`・§2-2 の「検証→自動補正→変換」。場面はまだ作り立てで、失われる作り込みが無い）。②**既存の場面**が後から解決できなくなった場合は**自動では置換しない**＝書き出しを停止し公開前チェックで該当場面を示す。標準へ寄せるのは**利用者の明示操作**「まとめて標準にする」（作り込んだ配置が黙って別物に化けるのを防ぐ）。③**マイ見た目の削除と同時**は、開いているプロジェクトの使用場面を標準へ置換する（#458・孤立参照を作らない）。これは削除確認で**影響する場面数を先に示した**うえでの明示操作として成立させる（他プロジェクトの場面は②に落ちる）	①この場面の見た目パターンが見つからないため、標準を使います ②この場面の見た目パターンが見つかりません。場面編集で選び直すか、「まとめて標準にする」で標準の見た目に変えてください ③この場面の見た目パターンが見つかりません。見た目パターンを手動で選んでください	`11 §9`・`12 §8`・#547。⚠️ **場面編集は理由を畳めない場所に出す**（差分再監査 9・10巡目）＝書き出しを止めているのに、理由も選び直す先も既定で畳まれた節の中にしかなかった。**未解決のときは「文字」の節そのものを出さない**（存在しない見た目について語らない）。⚠️ **場面編集の文言は `sceneTemplateProblemMessage` に1つ**＝画面へ直書きすると、候補ゼロのときに**実行できない次の行動**（「選び直してください」）を出す側と出さない側が並ぶ。⚠️ **公開前チェック（`adapters`）と取り込み時（`transformPlan`）は別の文**＝同じコードでも**出る場所で次の行動が違う**（前者は「まとめて標準にする」、後者は**自動補正の報告**と、**補正先が無いときの手動選択**の2つ）ので等値検査の対象外＝**合計3つ**。⚠️ **候補ゼロでも次の行動で終わる**（種類を変える／見た目パターンを作る）＝行き止まりにしない。⚠️ **α-7 出口監査で、表から漏れているのが見つかった**＝**取り込み時の3つ目の文**（見た目パターンを手動で選んでください）が表に無かった＝由来欄は「合計3つ」と書いているのに、書いてあるのは2つだった
`TEMPLATE_ORIENTATION_MISMATCH`	info（補正時）/ warning（補正不可時）	同category・同orientation へ置換（**取り込み時はマイ見た目を当て先にしない**＝ADR-0017／利用者の向き変更ではマイ見た目も可）	①動画の向きに合う見た目に調整しました ②動画の向きに合う見た目が見つかりませんでした。見た目パターンを手動で選んでください	`ADR-0012` / `11 §9`。⚠️ **α-7 出口監査で、表から漏れているのが見つかった**＝**補正できなかったときの文**が表に無かった
`ASSET_NOT_FOUND`	warning	null＋候補提示	使う写真・動画が見つかりません。選び直してください	`05 §17`
`ASSET_FILE_MISSING`	warning（公開前チェックでは**使っている素材のみ**「要対応」＝`PrecheckItem` 側の値。使っていない素材は動画に入らないので出さない）	**選び直し導線**（#347・α-6 で実装）＝`assetId` は変えずに**ファイルだけ差し替える**（ADR-0024＝Asset は元素材の源泉）ので、置いた場所・切り出す範囲・キーフレーム・字幕の紐づけは**構造的に**残る。⚠️ **黙って別の素材にしない**（`§2-5`・ADR-0026④）。差し替えた素材が短く**切り出す範囲が新しい長さを超える**ときは収め直し、**収め直したことを知らせる**（`clipClampedMessage`）。⚠️ **種類の違うファイルへは差し替えない**＝写真↔動画で入れ替えると、種類を変えれば**置いた差し込み口が受け付けなくなって黙って消え**、種類を変えなければ**写真として動画を描く**ことになり何も映らない（どちらも「黙って別の結果」）。断って**代わりの手**（取り込んでから場面で選び直す）を示す。調べるのは**アプリの中だけ**＝ブラウザにはプロジェクトフォルダが無く、「全部見つからない」は嘘になるので**項目そのものを出さない**。⚠️ **タイムライン形式にも同じ手を出す**（#1019 ⑤・`11 §7.6.3.3`）＝この行は形式を限定していないのに導線が場面形式にしか無く、タイムライン側は「取り込み直すか置き直してください」＝どちらも**新しい番号になる**（切り抜き・動き・連動する字幕まで作り直し）だった（ADR-0026②）。収め直す先は**素材そのもの・直接置いた動画・差し込み口に入れた動画**の3つ	①（素材の画面・一覧）〇つの素材のファイルが見つかりません。動かしたか、消えている可能性があります。その素材を選んで「ファイルを選び直す」から入れ直してください（置いた場所や設定はそのまま残ります） ②（公開前チェック）動画で使っている素材のファイルが見つかりません（〇〇）。素材の画面で「ファイルを選び直す」から入れ直してください ③（タイムライン形式の編集画面）絵が出せない素材を使っている部品が〇個あります。そのままでは動画にその絵が出ません。ファイルを選び直すと、置いた場所・切り出す範囲・動き・字幕の紐づけはそのまま残ります〔＋素材ごとに「ファイルを選び直す」〕	`05 §17`・#347
`REQUIRED_SLOT_EMPTY`	warning	—	この場面に入れる写真・動画がまだ選ばれていません。表の「素材を変更」から選んでください	`11 §8 V6`。⚠️ **表が実装から離れていた**（#354）＝この行は初期設計のまま一度も更新されておらず、表は「写真・動画」、実装（`transformPlan`）は「素材」だった。実装の語に合わせた。⚠️ **次の行動が無い**（§2-5）＝どこで選ぶのかを言っていない。文言の作り直しは #962 で追う。**#962 で次の行動を足した**＝以前は「未設定です」で終わっており、**どこで直すのか**を言っていなかった（§2-5）。たたき台の表にある操作の名前で言う。文言は `TRANSFORM_WARNING`（domain）
`DURATION_CLAMPED`	info	clamp	表示時間を見やすい長さに調整しました	`11 §9`
`TEXT_OVERFLOW`	warning	—	①セリフが長いので読みづらくなります。表の「セリフを直す」から短くしてください ②字幕が長いので読みづらくなります。表の「セリフを直す」から短くしてください	`05 §17`。⚠️ **表が実装から離れていた**（#354）＝この行は初期設計のまま一度も更新されておらず、表は「文字が表示範囲に収まりません。短くできます」だったが、実装（`transformPlan`）は**セリフと字幕で2つ**あり、どちらも別の文だった。⚠️ 表の「短縮提案」は**実装が無い**（短くする導線は出ない）＝#962 で追う。**#962 で次の行動を足した**（同上）。⚠️ **自動対応を「短縮提案」から `—` へ改めた**＝**短くする導線は実装が無い**（表だけが約束していた）。作るかどうかは別途決める
`SCENE_TYPE_FALLBACK`	info	既知の場面の種類へ寄せる	不明な場面種別を調整しました	`12 §8`。⚠️ **α-7 出口監査で、表に1行も無いことが見つかった**（domain が出す断りは`codeMessages()` の走査の外にあり、機械でも気づけなかった）。⚠️ **「場面種別」は実装寄りの語**（`06 §3` は「場面の種類」）＝文言の作り直しは別途
`POSE_FALLBACK`	info	既定yukoへ	①ゆうこの表情を標準に調整しました ②ゆうこの素材が見つかりません	`12 §8.3`。⚠️ **α-7 出口監査で、表から漏れているのが見つかった**＝**同じコードで2つ目の文**（素材が無いとき・`warning`／自動補正ではない）が表に無かった。⚠️ **次の行動が無い**＝素材の画面でゆうこの素材を取り込む、を言っていない。文言の作り直しは別途
~~`NARRATION_EMPTY`~~	warning	～～生成前に警告～～	～～セリフが空です。入力してください～～	`08 §10`。⚠️ **表が実装から離れていた**（#354）＝この行は初期設計のまま一度も更新されておらず、⚠️ **実装が無い**＝空のセリフを警告する経路はどこにも無い（事前確認にも項目が無い）。そもそも**セリフの無い場面は成り立つ**（音のない場面）ので、この行自体が要らない可能性がある。#962 で決める。**#962 で退役**＝⚠️ **この文言はどこにも出していない**（空のセリフを警告する経路が無い）うえ、**セリフの無い場面は成り立つ**（音のない場面・区切り）ので、そもそも警告すべきものではない。⚠️ **行は消さず退役として残す**（`TIMELINE_EXPORT_VIDEO_ASSET_UNSUPPORTED` と同じ流儀＝過去の版の記述と突き合わせられる）
